,Row1:,"date,site and table, data box fileid, and outfolder boxid (separated by underscore, if necessary)",date:,7142021,site:,Sanford_,table:,table,testing data file id:,8.34E+11,save error report to box folder id:,1.38E+11,,,
Sanford and Henry Ford reported sex,state_d_435027713,crossValid3,"536341288, 654207589178420302",d_827220437,"657167265, 548392715",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,"07/14: Check for deidentified variables (race, sex, member) if verification status = verified, changes based on site.",,,
Automated verification,state_d_444699761,crossValid2,"734437214, 426360242",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Outreach required for Verification,state_d_188797763,crossValid2,"353358909, 104430631",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Manual verification,state_d_953614051,crossValid2,"734437214, 426360242",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Duplicate type,state_d_148197146,crossValid2,"638335430, 654558118 ",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Update recruit type,state_d_793822265,crossValid2,"132080040, 854903954, 965707001",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
First Name Match,state_d_147176963,crossValid2,"356674370, 219803804",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Last Name Match,state_d_557461333,crossValid2,"356674370, 219803804",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
DOB Match,state_d_725929722,crossValid2,"356674370, 219803804",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
PIN Match,state_d_711794630,crossValid2,"356674370, 219803804",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Token Match,state_d_679832994,crossValid2,"356674370, 219803804",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Zip code Match,state_d_559534463,crossValid2,"356674370, 219803804",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Site Match,state_d_570452130,crossValid2,"539025306, 427405444",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Age Match,state_d_629484663,crossValid2,"539025306, 427405444",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Cancer Status Match,state_d_547895941,crossValid2,"539025306, 427405444",d_821247024,197316935,d_512820379,"486306141, 854703046 ",,,,,07/14: Check for verification table variables when verification status = verified,,,
Sanford Health Reported Race,state_d_119643471,crossValid2,"232334767, 211228524, 308427446, 635279662, 432722256, 232663805, 785578696, 200929978, 490725843, 965998904, 986445321, 746038746, 178420302",d_827220437,657167265,d_512820379,486306141,,,,,"07/15: For Sanford or other sites, we need race when recruitment = active",,,
Henry Ford Health System Reported Race,state_d_684926335,crossValid2,"232334767, 635279662, 401335456, 178420302",d_827220437,548392715,d_512820379,486306141,,,,,"07/15: For Sanford or other sites, we need race when recruitment = active",,,
KP reported sex,d_678756255,crossValid2,"536341288, 654207589, 395528052, 181769837, 178420302",d_827220437,"125001209, 327912200, 300267574, 452412599",d_512820379,486306141,,,,,"07/15: For Sanford or other sites, we need race when recruitment = active",,,
Sanford and Henry Ford reported sex,state_d_435027713,crossValid2,"536341288, 654207589178420302",d_827220437,"657167265, 548392715",d_512820379,486306141,,,,,"07/15: For Sanford or other sites, we need race when recruitment = active",,,
Sanford Health Reported Race,state_d_119643471,crossValid3,"232334767, 211228524, 308427446, 635279662, 432722256, 232663805, 785578696, 200929978, 490725843, 965998904, 986445321, 746038746, 178420302",d_827220437,657167265,d_512820379,486306141,d_821247024,197316935,,,"07/15: For Sanford or other sites, we need race when recruitment = passive and verification status = verified",,,
Henry Ford Health System Reported Race,state_d_684926335,crossValid3,"232334767, 635279662, 401335456, 178420302",d_827220437,548392715,d_512820379,486306141,d_821247024,197316935,,,"07/15: For Sanford or other sites, we need race when recruitment = passive and verification status = verified",,,
KP reported sex,d_678756255,crossValid3,"536341288, 654207589, 395528052, 181769837, 178420302",d_827220437,"125001209, 327912200, 300267574, 452412599",d_512820379,486306141,d_821247024,197316935,,,"07/15: For Sanford or other sites, we need race when recruitment = passive and verification status = verified",,,
Sanford and Henry Ford reported sex,state_d_435027713,crossValid3,"536341288, 654207589178420302",d_827220437,"657167265, 548392715",d_512820379,486306141,d_821247024,197316935,,,"07/15: For Sanford or other sites, we need race when recruitment = passive and verification status = verified",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,"New rule 0518 (wait for simplification): For studyID, if duplicate studyIds found, one should be verified and the other duplicate",,,,
,,,,,,,,,,,"When consented= yes, then sign in should =yes",,,,"New rule 0518: We can't collect the sign-in mechanism data until we have consent, so that part of it makes sense, and should be a rule in the QC, as a matter of fact, it's very important that we not collect any PII including sign-in data until we have consent"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"crossValid1_OR: Checks for != some value across 2 variables ( ie. If sign-in != yes, or consented != yes, then UP submitted should not be yes, so we are checking for yes as an error)",,,,,,,,,,,,,,,
Default rules: Defaults are set at sign-in for passive recruits and when we get the studyId for active recruits. Rule is only valid when Consent = 0.,,,,,,,,,,,,,,,
